RN;SAT;Regiío;Estado;Latitude;Longitude;Alt.Orto. (H);Alt.Geom. (h);Ondula?ío (N) Conexío *;Ondula?ío (N) MAPGEO2015 **;Discrepüncias dif.Conexío_X_MAPGEO2015;Link do SAT no Banco de Dados
4003P;91960;SUDESTE;RIO DE JANEIRO;-21,4773589;-41,1138355;9,5455;2,975;-6,57;-6,74;0,17;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91960
4010B;93966;SUDESTE;RIO DE JANEIRO;-21,2003954;-41,7159273;140,631;133,872;-6,76;-6,86;0,1;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=93966
9022D;93519;SUDESTE;RIO DE JANEIRO;-22,3891153;-41,7706803;5,2776;-1,215;-6,49;-6,78;0,29;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=93519
9022E;93690;SUDESTE;RIO DE JANEIRO;-22,3868436;-41,7693948;4,4741;-2,036;-6,51;-6,77;0,26;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=93690
2388G;91617;SUDESTE;SÄO PAULO;-20,2524603;-50,1835142;435,2343;427,587;-7,65;-7,54;-0,11;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91617
2810C;91711;SUDESTE;SÄO PAULO;-22,6754365;-45,0007562;556,4976;553,38;-3,12;-3,24;0,12;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91711
2875N;91839;SUDESTE;SÄO PAULO;-22,9381794;-48,3927779;877,4363;872,221;-5,22;-5,27;0,05;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91839
2875R;91840;SUDESTE;SÄO PAULO;-22,9355632;-48,3593177;683,0428;677,74;-5,3;-5,31;0,01;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91840
2914G;91844;SUDESTE;SÄO PAULO;-21,9392862;-48,801115;509,9552;503,276;-6,68;-6,63;-0,05;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91844
2914R;91843;SUDESTE;SÄO PAULO;-21,8069298;-48,8385048;448,3992;441,615;-6,78;-6,67;-0,11;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91843
2964J;93681;SUDESTE;SÄO PAULO;-21,1854098;-49,583083;485,7722;478,75;-7,02;-6,91;-0,11;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=93681
2965J;93682;SUDESTE;SÄO PAULO;-21,0313645;-49,6469204;469,6232;462,61;-7,01;-6,95;-0,06;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=93682
2988C;91615;SUDESTE;SÄO PAULO;-20,7846568;-49,3581848;527,7466;520,755;-6,99;-6,96;-0,03;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91615
2988H;91668;SUDESTE;SÄO PAULO;-20,2613998;-47,3674521;1074,5587;1067,483;-7,08;-7,19;0,11;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91668
2988Z;91689;SUDESTE;SÄO PAULO;-20,2417955;-47,3102734;685,248;678,009;-7,24;-7,34;0,1;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91689
2989B;91690;SUDESTE;SÄO PAULO;-20,2445144;-47,2713686;710,3971;703,128;-7,27;-7,33;0,06;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91690
2991T;91634;SUDESTE;SÄO PAULO;-23,2127667;-45,859698;624,3378;621,217;-3,12;-3,2;0,08;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91634
2992B;91638;SUDESTE;SÄO PAULO;-23,2193792;-45,872147;619,1325;615,991;-3,14;-3,19;0,05;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91638
2992C;91637;SUDESTE;SÄO PAULO;-23,225769;-45,8631306;628,0205;624,873;-3,15;-3,21;0,06;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91637
2992D;91636;SUDESTE;SÄO PAULO;-23,234386;-45,8537701;646,2563;643,074;-3,18;-3,22;0,04;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91636
2992E;91635;SUDESTE;SÄO PAULO;-23,2225809;-45,8654884;625,0867;621,952;-3,13;-3,2;0,07;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91635
3007P;91612;SUDESTE;SÄO PAULO;-20,5819065;-47,3809555;1011,1194;1005,059;-6,06;-6,26;0,2;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91612
3007T;91607;SUDESTE;SÄO PAULO;-23,5508467;-46,7315776;721,1014;718,14;-2,96;-3,05;0,09;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91607
3018P;91608;SUDESTE;SÄO PAULO;-23,4114418;-45,593643;720,8007;717,506;-3,29;-3,44;0,15;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91608
3018V;91725;SUDESTE;SÄO PAULO;-22,6799845;-44,9911428;572,9733;569,857;-3,12;-3,24;0,12;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91725
3018X;91727;SUDESTE;SÄO PAULO;-22,6872269;-44,9851633;619,7134;616,598;-3,12;-3,24;0,12;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91727
3018Z;91728;SUDESTE;SÄO PAULO;-22,6867011;-44,9847929;619,071;615,952;-3,12;-3,23;0,11;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91728
3020B;91682;SUDESTE;SÄO PAULO;-22,6869607;-44,9842878;623,39;620,278;-3,11;-3,23;0,12;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91682
3020D;91726;SUDESTE;SÄO PAULO;-22,6916829;-44,9908086;648,5318;645,408;-3,12;-3,24;0,12;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91726
3020L;91685;SUDESTE;SÄO PAULO;-22,8047918;-48,4274363;750,9057;745,385;-5,52;-5,58;0,06;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91685
3020M;91616;SUDESTE;SÄO PAULO;-21,7549189;-48,9927658;408,9119;402,351;-6,56;-6,64;0,08;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91616
3020R;91613;SUDESTE;SÄO PAULO;-21,2351641;-48,2863848;612,8991;605,96;-6,94;-6,98;0,04;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91613
3021N;91684;SUDESTE;SÄO PAULO;-24,4421562;-47,7829551;47,6534;44,257;-3,4;-3,4;0;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91684
3023E;91683;SUDESTE;SÄO PAULO;-23,5293356;-48,0098634;750,7915;746,704;-4,09;-4,16;0,07;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91683
3035R;91355;SUDESTE;SÄO PAULO;-20,2623761;-48,674872;465,0675;457,099;-7,97;-7,88;-0,09;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91355
3038T;91787;SUDESTE;SÄO PAULO;-20,0356026;-48,2229336;497,5037;488,657;-8,85;-8,72;-0,13;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91787
3041S;91845;SUDESTE;SÄO PAULO;-20,2719653;-47,4553697;1050,2653;1043,419;-6,85;-7,05;0,2;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91845
3041U;91833;SUDESTE;SÄO PAULO;-20,2716257;-47,4545204;1051,8686;1044,923;-6,95;-7,05;0,1;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91833
3056A;91554;SUDESTE;SÄO PAULO;-22,9044714;-50,0019012;392,0258;386,749;-5,28;-5,18;-0,1;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91554
3092T;91716;SUDESTE;SÄO PAULO;-25,0202393;-47,9249685;7,9738;6,058;-1,92;-1,88;-0,04;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91716
3108U;92578;SUDESTE;SÄO PAULO;-22,1281713;-51,4281761;434,1324;429,107;-5,03;-4,99;-0,04;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=92578
3111T;91550;SUDESTE;SÄO PAULO;-21,9505266;-50,9414528;326,5143;320,436;-6,08;-5,87;-0,21;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91550
3112M;96157;SUDESTE;SÄO PAULO;-21,7916176;-50,7968389;490,1175;483,797;-6,32;-6,17;-0,15;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=96157
3113A;91584;SUDESTE;SÄO PAULO;-21,7134889;-50,7275925;440,0737;433,609;-6,46;-6,29;-0,17;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91584
3113T;91719;SUDESTE;SÄO PAULO;-21,5963944;-50,6014286;426,8598;420,202;-6,66;-6,48;-0,18;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91719
3114D;91971;SUDESTE;SÄO PAULO;-21,5250232;-50,5516378;446,0492;439,377;-6,67;-6,57;-0,1;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91971
3114S;91972;SUDESTE;SÄO PAULO;-21,3975656;-50,4833494;461,1102;454,225;-6,89;-6,73;-0,16;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91972
3115F;91973;SUDESTE;SÄO PAULO;-21,3387062;-50,3999974;476,1048;469,095;-7,01;-6,8;-0,21;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91973
3115T;91974;SUDESTE;SÄO PAULO;-21,2203796;-50,302928;404,3274;397,077;-7,25;-7;-0,25;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91974
3116H;91975;SUDESTE;SÄO PAULO;-21,0569952;-50,200953;383,2946;375,857;-7,44;-7,25;-0,19;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91975
3124A;91507;SUDESTE;SÄO PAULO;-23,2134842;-45,8605913;625,6337;622,527;-3,11;-3,2;0,09;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91507
3124B;96110;SUDESTE;SÄO PAULO;-23,2134535;-45,8608179;624,2305;621,025;-3,21;-3,2;-0,01;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=96110
3125R;96158;SUDESTE;SÄO PAULO;-21,8583693;-50,6893384;499,4072;493,155;-6,25;-6,12;-0,13;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=96158
3307V;91610;SUDESTE;SÄO PAULO;-21,6251631;-47,0180133;585,1585;580,026;-5,13;-5,18;0,05;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91610
3322T;92856;SUDESTE;SÄO PAULO;-21,4375693;-47,0096851;618,8147;613,738;-5,08;-5,09;0,01;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=92856
4037Z;93901;SUDESTE;SÄO PAULO;-21,2410525;-48,2866494;575,2342;568,268;-6,97;-6,98;0,01;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=93901
4038N;91351;SUDESTE;SÄO PAULO;-21,0858124;-48,4033954;603,2083;596,282;-6,93;-7,02;0,09;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91351
4039B;91352;SUDESTE;SÄO PAULO;-20,9328399;-48,4721842;565,1234;558,083;-7,04;-7,14;0,1;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91352
4039S;91353;SUDESTE;SÄO PAULO;-20,7212416;-48,5363156;588,2276;580,891;-7,34;-7,37;0,03;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91353
4040F;91879;SUDESTE;SÄO PAULO;-20,5831466;-48,5974632;576,5349;568,857;-7,68;-7,63;-0,05;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91879
9501C;90764;SUDESTE;SÄO PAULO;-23,5665728;-46,7325846;790,742;787,773;-2,97;-3,05;0,08;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=90764
9502B;91785;SUDESTE;SÄO PAULO;-20,0210633;-47,4357342;561,4362;553,153;-8,28;-8,11;-0,17;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91785
1581T;96149;SUL;PARANÊÅ;-23,7893704;-53,0603096;470,8619;471,05;0,19;0,15;0,04;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=96149
1587X;93999;SUL;PARANÊÅ;-23,2464698;-50,7269278;400,1126;396,114;-4;-3,88;-0,12;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=93999
1594D;96148;SUL;PARANÊÅ;-23,7223914;-52,180014;374,9377;373,219;-1,72;-1,67;-0,05;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=96148
1597H;93961;SUL;PARANÊÅ;-24,0153659;-51,0917001;1011,8736;1011,977;0,1;-0,15;0,25;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=93961
1720M;96151;SUL;PARANÊÅ;-24,3755293;-53,8350235;381,88;384,635;2,76;2,85;-0,1;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=96151
1726F;96153;SUL;PARANÊÅ;-25,7498442;-53,0535789;511,4725;514,3;2,83;2,89;-0,06;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=96153
1728D;96154;SUL;PARANÊÅ;-26,2665338;-52,7826059;689,6361;694,388;4,75;4,6;0,15;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=96154
1731M;96152;SUL;PARANÊÅ;-25,1499081;-53,843908;672,7305;676,829;4,1;4,05;0,05;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=96152
1735D;96155;SUL;PARANÊÅ;-25,4258255;-52,0179864;770,0963;773,504;3,41;3,27;0,14;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=96155
1741B;96156;SUL;PARANÊÅ;-25,6969978;-51,6599773;1051,9362;1056,85;4,91;4,7;0,21;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=96156
1743H;91743;SUL;PARANÊÅ;-24,7530239;-51,7761673;893,0858;894,896;1,81;1,72;0,09;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91743
2018P;92700;SUL;PARANÊÅ;-24,724937;-49,98637;1037,5545;1041,746;4,19;3,9;0,29;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=92700
2021V;96147;SUL;PARANÊÅ;-24,5665493;-51,3375284;536,6371;537,333;0,7;0,83;-0,13;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=96147
2028D;94050;SUL;PARANÊÅ;-23,8749019;-53,8909314;377,8352;379,521;1,69;1,86;-0,17;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=94050
2985A;91582;SUL;PARANÊÅ;-25,5791022;-54,5591294;179,8058;185,023;5,22;5,24;-0,02;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91582
3105U;91795;SUL;PARANÊÅ;-22,6963865;-51,7919334;379,365;375,726;-3,64;-3,41;-0,23;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91795
3279F;91105;SUL;PARANÊÅ;-25,4483686;-49,2309548;921,8421;925,765;3,92;3,66;0,26;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91105
3279N;91123;SUL;PARANÊÅ;-25,452259;-49,235936;909,697;913,689;3,99;3,67;0,32;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91123
3279R;91124;SUL;PARANÊÅ;-25,454087;-49,236771;907,1962;911,184;3,99;3,67;0,32;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91124
3279U;91103;SUL;PARANÊÅ;-25,4555288;-49,2374304;907,1886;911,134;3,95;3,67;0,28;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91103
1413L;93972;SUL;RIO GRANDE DO SUL;-28,056344;-51,12976;914,1311;921,153;7,02;6,76;0,26;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=93972
1780U;94047;SUL;RIO GRANDE DO SUL;-29,7781008;-50,1743609;16,4655;19,768;3,3;3,24;0,06;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=94047
1790D;94039;SUL;RIO GRANDE DO SUL;-30,1565119;-52,1174593;61,3373;68,332;6,99;6,97;0,02;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=94039
1791C;94044;SUL;RIO GRANDE DO SUL;-29,7002478;-52,8594946;126,6082;134,924;8,32;8,22;0,1;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=94044
1792H;91947;SUL;RIO GRANDE DO SUL;-29,7108457;-53,7168047;85,6995;95,244;9,54;9,46;0,08;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91947
1792L;91946;SUL;RIO GRANDE DO SUL;-29,6953655;-53,7750871;115,6781;125,282;9,6;9,56;0,04;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91946
1795M;94040;SUL;RIO GRANDE DO SUL;-30,2422288;-52,7474274;51,2498;60,073;8,82;8,82;0;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=94040
1907L;93976;SUL;RIO GRANDE DO SUL;-29,172031;-52,205892;499,1238;506,793;7,67;7,44;0,23;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=93976
1916J;93816;SUL;RIO GRANDE DO SUL;-28,3783195;-54,2837667;265,5297;274,147;8,62;8,65;-0,03;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=93816
1919R;93975;SUL;RIO GRANDE DO SUL;-28,6356413;-53,6138781;471,011;480,033;9,02;8,91;0,11;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=93975
1930H;91945;SUL;RIO GRANDE DO SUL;-29,6663734;-54,6727409;119,6918;130,043;10,35;10,31;0,04;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91945
1937B;91943;SUL;RIO GRANDE DO SUL;-30,2415909;-54,9508784;139,3864;151,443;12,06;11,96;0,1;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91943
1938J;91936;SUL;RIO GRANDE DO SUL;-29,8343847;-55,6858042;130,2493;142,374;12,12;12,1;0,02;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91936
1941N;91938;SUL;RIO GRANDE DO SUL;-30,858244;-55,502014;199,4816;213,377;13,9;13,68;0,22;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91938
1943J;91940;SUL;RIO GRANDE DO SUL;-30,1779068;-56,0547411;226,7287;239,913;13,18;13,1;0,08;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91940
1946V;91939;SUL;RIO GRANDE DO SUL;-30,3812448;-56,397078;148,9098;162,573;13,66;13,58;0,08;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91939
1951R;94043;SUL;RIO GRANDE DO SUL;-30,943873;-54,109751;312,626;325,674;13,05;12,87;0,18;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=94043
1965U;94038;SUL;RIO GRANDE DO SUL;-31,3907267;-52,6774992;418,6723;429,187;10,51;10,39;0,12;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=94038
1966Z;94042;SUL;RIO GRANDE DO SUL;-31,6957181;-52,4239901;31,8193;41,275;9,46;9,27;0,19;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=94042
1977L;91950;SUL;RIO GRANDE DO SUL;-32,249116;-53,553677;136,5277;148,494;11,97;11,73;0,24;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91950
3093H;91850;SUL;RIO GRANDE DO SUL;-30,074042;-51,119765;72,1478;76,745;4,6;5,01;-0,41;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91850
3093J;91899;SUL;RIO GRANDE DO SUL;-30,0731809;-51,1197747;73,5415;78,721;5,18;5;0,18;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91899
1401R;94030;SUL;SANTA CATARINA;-27,0604718;-49,4120238;93,3357;95,734;2,4;2,34;0,06;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=94030
1433D;93978;SUL;SANTA CATARINA;-27,0723973;-52,6266937;676,5868;682,693;6,11;5,97;0,14;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=93978
1710F;93981;SUL;SANTA CATARINA;-26,5000536;-53,5060341;758,6187;763,657;5,04;4,92;0,12;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=93981
1750Z;93982;SUL;SANTA CATARINA;-26,724955;-51,632252;1252,12;1259,758;7,64;7,33;0,31;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=93982
1778L;96166;SUL;SANTA CATARINA;-28,8213621;-49,3993709;19,7737;21,239;1,47;1,23;0,24;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=96166
1779B;94032;SUL;SANTA CATARINA;-29,0791983;-49,6292029;15,158;17,003;1,85;1,64;0,21;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=94032
2006J;96168;SUL;SANTA CATARINA;-27,492642;-48,5038314;3,254;3,768;0,51;0,44;0,07;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=96168
2011U;94028;SUL;SANTA CATARINA;-26,313999;-49,909934;947,9771;952,02;4,04;3,82;0,22;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=94028
2011X;93983;SUL;SANTA CATARINA;-26,27023;-49,919078;845,7919;849,828;4,04;3,84;0,2;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=93983
2014D;93984;SUL;SANTA CATARINA;-26,913299;-50,444574;1093,8811;1099,482;5,6;5,35;0,25;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=93984
2059L;94034;SUL;SANTA CATARINA;-27,9561268;-50,4844354;975,8185;982,288;6,47;6,2;0,27;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=94034
2061N;94033;SUL;SANTA CATARINA;-27,822888;-49,57;868,6589;873,267;4,61;4,28;0,33;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=94033
2062U;94031;SUL;SANTA CATARINA;-27,659944;-49,125633;802,3147;805,34;3,03;2,76;0,27;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=94031
2064P;94027;SUL;SANTA CATARINA;-26,176649;-49,007653;174,2462;176,614;2,37;2,14;0,23;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=94027
3012E;96169;SUL;SANTA CATARINA;-26,7819468;-48,6685682;8,4487;8,563;0,11;-0,08;0,19;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=96169
3012U;91662;SUL;SANTA CATARINA;-28,2300649;-48,6543281;6,0835;7,402;1,32;1,25;0,07;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91662
3087J;91854;SUL;SANTA CATARINA;-28,2366133;-48,6560785;10,55;11,85;1,3;1,25;0,05;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91854
9302T;91558;SUL;SANTA CATARINA;-28,2380556;-48,6594444;11,3156;12,639;1,32;1,25;0,07;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91558
